Area Code,Area,Item Code,Item,Element,Year,Unit,Value,Flag
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1961,tonnes,69084,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1962,tonnes,103935,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1963,tonnes,96061.8,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1964,tonnes,109691.95,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1965,tonnes,148635.22,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1966,tonnes,155029.03,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1967,tonnes,165604,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1968,tonnes,175799.02,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1969,tonnes,191972.21,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1970,tonnes,185631,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1971,tonnes,195027.91,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1972,tonnes,226173.07,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1973,tonnes,253701,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1974,tonnes,260033,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1975,tonnes,248376.27,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1976,tonnes,276479.38,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1977,tonnes,347122,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1978,tonnes,379306,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1979,tonnes,398997.81,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1980,tonnes,364934,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1981,tonnes,464984,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1982,tonnes,467520,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1983,tonnes,520522,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1984,tonnes,468972.68,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1985,tonnes,471217,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1986,tonnes,473102.43,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1987,tonnes,478361.28,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1988,tonnes,559246.29,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1989,tonnes,592528.29,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1990,tonnes,557484.23,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1991,tonnes,482228.55,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1992,tonnes,627552.23,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1993,tonnes,545269.33,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1994,tonnes,553608.93,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1995,tonnes,658638.61,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1996,tonnes,578622.76,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1997,tonnes,584822.26,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1998,tonnes,415525.31,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),1999,tonnes,442642.13,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2000,tonnes,441661.81,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2001,tonnes,369896.97,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2002,tonnes,402903.64,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2003,tonnes,307265.75,S
117,Republic of Korea,2617,Apples and products,Food supply quantity (tonnes),2004,tonnes,305324.43,S
